event_name,city_name,date,time,latitude,longitude
Between thus table,Port Rebeccaberg,2024-03-01,18:00:00,38.33354302,157.9579286
Chair west nature,Williamsberg,2024-04-16,11:00:00,70.36082636,-35.87010613
Program technology middle true,Hoffmanfurt,2024-03-05,07:30:00,-77.19655523,-163.4941699
Prove by recognize,Robertstad,2024-04-01,17:00:00,-66.50384758,-26.49728437
Federal,Timport,2024-04-20,10:30:00,27.57053311,-121.0672874
Explain plant,Laneshire,2024-03-11,19:00:00,-5.532590733,117.3069602
Figure,Shawton,2024-04-23,01:30:00,11.76800676,-60.54742509
Support least recent,Carlville,2024-03-22,04:30:00,-61.57435141,178.5312529
Girl require important,New Matthew,2024-04-07,09:30:00,37.5351609,-110.0174351
Evening finish,Hartville,2024-03-27,16:00:00,1.297786634,5.411080838
Shake first,North Kristen,2024-03-11,22:00:00,68.9115994,140.4362098
Make agree,North Amy,2024-03-25,21:00:00,46.9137374,-122.182665
Peace seem west,Curtisville,2024-04-10,01:30:00,-26.60714956,-122.2140638
Pay hit,New Scott,2024-03-06,21:30:00,42.83635155,-113.9210684
By parent during,Lake Jeffreyhaven,2024-04-28,06:30:00,44.23209849,6.192591687
Page might,Sherriview,2024-03-09,14:00:00,26.02537994,-18.51716662
Per,New Joyce,2024-04-06,20:00:00,-27.3207128,-129.1641687
Message no,Lake Lisa,2024-04-26,20:30:00,80.38186351,53.67522352
Father make develop,Lake Hunterfurt,2024-03-14,22:00:00,-59.83036039,6.220779026
Fact forward,South Joshua,2024-04-27,13:00:00,26.92830511,131.8534408
Him address side choice,Willistown,2024-04-24,00:00:00,-7.599549,171.772287
Wind like open last,Ronnietown,2024-04-20,13:00:00,-74.43909428,-60.18269797
Dream TV article,East Shannonborough,2024-04-26,13:00:00,-43.55898512,140.5108928
Believe assume,Brendabury,2024-04-04,03:30:00,16.67540874,-141.950691
Way quickly health,Monicamouth,2024-04-15,17:30:00,-21.51614741,-52.13315275
Computer identify,Thomasshire,2024-04-21,03:00:00,-32.43349714,-3.731333989
Not she center person,Kyleview,2024-04-23,08:30:00,45.39963087,39.69358121
Key for,Birdbury,2024-03-03,06:30:00,-89.78322015,145.0644877
Medical clear,Hornton,2024-03-08,15:00:00,58.21298284,116.7106305
Position than want,East Brandonville,2024-04-04,05:00:00,38.53548942,-44.99086261
Right newspaper behavior,Lake Johnbury,2024-04-06,15:30:00,10.74503517,-166.2688531
Listen international,Lake Matthew,2024-03-27,15:00:00,-13.3935263,-98.28874385
Summer up sister,Lake Brian,2024-03-23,00:00:00,75.89326129,-52.67902086
Blood piece rest,East Tinafort,2024-03-13,19:30:00,23.97028478,-9.902254286
Catch attorney dream thousand,Claireville,2024-04-01,03:00:00,88.50374861,-53.08105051
Unit step remember,Scottfort,2024-03-21,15:30:00,-35.56394608,2.338459625
You subject win compare,New James,2024-04-23,18:30:00,2.848906525,166.3225584
These degree,New Veronica,2024-04-29,06:30:00,-20.66343684,4.69288283
Candidate,East Carolyn,2024-04-10,23:30:00,-88.46972191,148.3763749
National share,Robertchester,2024-04-03,06:30:00,-76.28684947,72.56555562
Style follow,Penningtontown,2024-03-01,09:00:00,69.63745651,78.01419738
Carry right threat,Jasminebury,2024-03-23,10:30:00,-8.789789841,-93.91557017
After note nearly,West Douglas,2024-03-24,09:30:00,78.80251268,-62.83100541
Size man financial,Brettberg,2024-04-29,07:30:00,-74.69316562,-155.7224516
Yard forget,North Davidfurt,2024-04-26,21:30:00,-33.86924549,-75.88235225
Few magazine against,Shawnville,2024-04-18,06:00:00,-80.55342735,125.6698091
Give,South Michelleberg,2024-04-14,12:00:00,8.13150888,74.33919868
Suggest guess dinner,Port Richard,2024-04-01,19:00:00,-72.04127391,-76.69556139
Player,Lewischester,2024-03-19,03:30:00,1.283756328,116.190566
Whole source,Vaughnfurt,2024-04-05,12:30:00,-5.139136908,11.26348677
Say me notice,East Bethtown,2024-04-15,15:00:00,-1.559122514,24.13216963
Throw eye deep,Lake Anitaville,2024-04-25,22:00:00,64.23516545,-103.0858767
Assume by,East Brandyfort,2024-03-18,10:00:00,-71.63468796,111.7686651
Political check five,Lake Timothymouth,2024-03-17,02:30:00,-64.8930422,19.96023685
Reveal sport,Mcclainburgh,2024-03-29,05:00:00,-7.573577082,-123.7968115
Probably theory,East Sonyaville,2024-03-04,19:30:00,-19.04107982,-68.06040623
School tax source,New Kelly,2024-03-22,09:30:00,-85.0419368,178.3722827
Responsibility yet,Port Emilychester,2024-03-14,15:30:00,55.28061268,-33.60797003
Individual establish approach technology,Lake Kimberly,2024-03-10,08:30:00,24.09408142,39.45194639
Station culture affect,Michaelland,2024-03-05,05:00:00,82.37674103,107.4285332
Organization within movement,Stevenburgh,2024-04-08,13:30:00,46.09207791,-12.49968203
Sometimes nice management,South Sarah,2024-04-19,10:00:00,79.44506789,-121.6361132
Suggest agree,East Davidfurt,2024-04-12,01:30:00,37.82212332,155.5483394
Glass although,Kathleenfort,2024-03-17,04:00:00,29.99371994,156.8157856
Of ask open,New Andrew,2024-03-16,04:00:00,-70.44535019,46.4730199
Student bit reflect,Garciaport,2024-03-08,03:00:00,-83.50906734,82.91179905
We explain,North Gabrielleton,2024-04-08,11:30:00,87.11569582,-41.54649847
Direction,Joshuaville,2024-03-12,21:30:00,-1.181877495,98.89108441
Million oil interest people,West Amyberg,2024-03-14,23:00:00,-75.09422174,-149.3150405
Spend business TV,West Alexisstad,2024-03-27,01:00:00,66.17035313,41.7388648
Future deal,South Lisaberg,2024-04-17,01:00:00,10.77666459,-91.90008021
Play fact,Davidsonfurt,2024-04-07,18:00:00,-75.55150365,171.1203507
Sport almost away,New Aliciaville,2024-04-24,08:00:00,-71.53705678,-60.31357923
Husband pretty ago,Meghanside,2024-04-10,20:30:00,53.62797987,168.4343836
Return,New Joeton,2024-03-01,00:30:00,-67.71943559,110.8888258
Some laugh pull,Craigburgh,2024-03-08,02:30:00,-49.43622737,-55.91911662
Court,Lake Bettyville,2024-03-01,00:30:00,38.89224466,-11.00906808
South leave always,Gregorymouth,2024-04-02,10:30:00,79.71873942,99.41702652
Perhaps lead determine,Lake Andrew,2024-04-11,17:00:00,-43.89019329,114.1272691
May,New Brittany,2024-03-19,10:30:00,-37.99439609,7.879804885
Discover environmental left,Jennifertown,2024-03-20,20:00:00,-66.86865112,121.7289836
Similar large energy,South Richardbury,2024-04-18,17:30:00,-41.67372514,-93.19286554
Middle on,Rodneyshire,2024-04-13,07:30:00,72.31672125,-125.7845131
Toward rock,Kyleport,2024-03-31,11:30:00,3.225844,108.3552456
Thousand by,Schmidtfort,2024-04-07,05:30:00,-8.417670703,12.34824357
Pass glass,Mendozaville,2024-04-19,21:00:00,54.04617598,-62.13618591
Be stay,Wiseberg,2024-04-18,13:30:00,31.20907496,69.21929602
Woman success good,Sherrytown,2024-04-29,18:30:00,-30.58671591,-57.91680822
Executive time hope,West Sheilachester,2024-04-25,05:30:00,-27.84287944,-172.5339034
Try fast suddenly,Elizabethberg,2024-03-29,07:30:00,8.248454788,120.0525997
Resource specific job,Hudsonside,2024-03-03,12:30:00,36.41125163,-144.8809898
Minute compare member,Davisshire,2024-04-13,09:30:00,-52.32981077,67.34057655
Radio size,West Darrenfurt,2024-04-01,14:00:00,-40.93659131,155.9738178
Experience probably true,Jennifermouth,2024-03-13,07:30:00,32.22542253,-153.4476588
Same,New Judyside,2024-03-13,07:30:00,-28.10749545,-15.96960579
As full,South Brittany,2024-03-06,14:30:00,33.62214034,-170.8902671
Little push,Port James,2024-03-09,01:30:00,-2.283392179,-149.4561919
Message close,Meaganmouth,2024-04-26,15:00:00,-32.95232234,62.65170949
Price would,Summerchester,2024-03-02,23:00:00,42.19361131,-94.81555288
Explain event near,New Rodneytown,2024-04-02,03:00:00,24.12393075,-17.17521604
Knowledge customer series,South Michaelton,2024-03-30,11:00:00,79.70636529,165.8367584
Director from,North Kylemouth,2024-03-29,13:30:00,13.03792461,-46.15799205
Reduce stop later,Kevinmouth,2024-04-26,14:30:00,14.54772228,145.9403508
General summer,Susanborough,2024-04-24,02:00:00,36.16094193,-166.7439633
Human hear fast,Ryanstad,2024-03-28,11:30:00,5.460944761,27.0592339
Take bill travel nearly,Melissaborough,2024-03-22,10:00:00,-35.08522732,-159.2840857
Inside work,Carmenside,2024-04-13,02:00:00,84.69182112,16.1769088
Than probably,Lake Nancy,2024-04-24,06:30:00,25.58200209,39.2123156
Thank some indicate,North Mary,2024-04-26,14:00:00,-45.68766671,160.3035119
Both doctor,South Sandra,2024-03-05,02:30:00,-14.70024432,93.24122563
Economy commercial hand drop,South Sherryfort,2024-03-27,17:30:00,33.36590132,161.8309244
Tough group,Ewingtown,2024-04-05,21:30:00,-53.97306971,-135.4168244
Teacher on rule,North Laurentown,2024-04-24,02:30:00,89.86225559,104.3091181
There truth,Kimberlyside,2024-03-02,21:30:00,89.64600598,9.521894614
Song number,Andersonborough,2024-03-29,01:30:00,-53.6314868,138.9751018
